"Key", "RowID","ODRReference","DataRecipient","OrganisationType","Purpose","DataSource","DataTypeProvidedTo","LegalBasisForRelease","DateOfRelease" 
108,"DRR108","ODR1516_025","University of Oxford","Academic Institution","The Million Women Study: We aim to examine the relationship between risk factors such as reproductive history, hormone use and lifestyle factors and subtypes of common cancers as defined by histological type and grade, stage, invasiveness, site-specific markers, and relevant combinations of these tumour characteristics.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2015-09-23
109,"DRR109","ODR_2014_358","Leeds Teaching Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","We wish to enhance the diagnosis held within PPM with the registry approved diagnosis. We also need to co-morbidity extracted from HES data as this data has not been collected routinely. Data has previously been shared for all patients diagnosed or treated at LTHT between Jan 2000 and Dec 2011. This data was anonymised on receipt and therefore cannot be linked to the PPM record. The data will be used to assess the impact of co-morbidity on cancer outcomes and treatment decisions made throughout the life of a cancer patient.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2015-09-29
110,"DRR110","ODR1516_079b","Leeds Teaching Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","The data will be used to assess the impact of co-morbidity on cancer outcomes and treatment decisions made throughout the life of a cancer patient.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2015-09-29
111,"DRR111","ODR1516_079a","Leeds Teaching Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","Data is requested to enhance the diagnostic information held within Leeds University Teaching Hospital's PPM with the registry approved diagnosis.  The data will be used to assess the impact of co-morbidity on cancer outcomes and treatment decisions made throughout the life of a cancer patient.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2015-12-17
112,"DRR112","ODR_2014_380","Queen Mary University of London","Academic Institution","Using data on the incidence of cancer in England from 1971 to the latest available year, we aim 1) to make cancer incidence projections up to 2030 for children and young adults (age range: 0 to 24), and 2) to estimate the actual number of cases using national population projections.","National Cancer Registration and Analysis Service","Anonymised ","Regulation 2 (s251)",2015-10-05
113,"DRR113","ODR1516_020","Leiden University Medical Centre","Academic Institution","The following research questions will be answered with the dataset:
1. What is the current guideline recommended treatment for stage II colon cancer in each of the participating countries? Since when are those guidelines in their current form, and are they widely implemented? Are there differences in the guidelines between the countries? What is chemotherapy regimen advised by the guidelines?
2. What is the actual guideline adherence in each of these countries?
3. What type of chemotherapy regimen do they receive and how many cycles?
4. Do the differences in treatment strategy of stage II colon cancer patients, lead to differences in survival?
","National Cancer Registration and Analysis Service","Anonymised ","Regulation 2 (s251)",2015-10-13
114,"DRR114","ODR1516_021","Leiden University Medical Centre","Academic Institution","The following research questions will be answered with the dataset:
1. What is the current guideline recommended treatment for rectal cancer in each of the participating countries? Since when are those guidelines in their current form, and are they widely implemented? Are there differences in the guidelines between the countries? What is chemotherapy regimen advised by the guidelines?
2. What is the actual guideline adherence in each of these countries? Were most patients treated according to their guidelines? What type of chemotherapy regimen do they receive?
3. Do the differences in treatment strategy of rectal cancer patients, lead to differences in survival?","National Cancer Registration and Analysis Service","Anonymised ","Regulation 2 (s251)",2015-10-13
115,"DRR115","ODR1516_014","London School of Hygiene & Tropical Medicine","Academic Institution","CONCORD-2 will quantify international differences and trends in survival on all five continents for 10 common malignancies in adults, and leukaemia in children. It will aim to explain the extent to which differences may be attributable to differences in definition, type or stage of disease at diagnosis, or in clinical investigation or treatment, or the effectiveness of health care systems. It will aim to provide evidence to support health policy. 

By 2014, CONCORD-2 will start to provide regular information on world-wide survival trends among cancer patients diagnosed between 1990 and 2009 or later.

The aims of CONCORD-2 are: 

? To provide quantitative and directly comparable estimates of cancer survival in many countries world-wide, for 10 malignancies that are common in adults, and childhood leukaemia, using individual data from population-based cancer registries, supplied to agreed standards and analysed centrally;

 ? To document world-wide trends in cancer survival since 1995 as the basis for systematic global surveillance of cancer survival, to enable examination of the underlying causes of survival differences, and to derive measures such as the population ?cure? fraction, cancer prevalence and the number of avoidable premature deaths as a basis for informing national and global policy for cancer control.

Data shall be supplied for 2009-2013 inclusive.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-11-19
116,"DRR116","ODR1516_075","University of Nottingham","Academic Institution","QResearch is a pseudonymised clinical database derived from UK general practices which started in 2002. The aim of QResearch is to develop and maintain a high quality database of general practice derived data linked to secondary care data for use in ethical medical research. The database is used for medical research into the causes of disease, history treatment and outcomes. In particular, it has been used for research into health equalities;
safety of medicines; the development of risk prediction tools to identify those at risk of a future disease, such as cardiovascular disease, (www.qrisk.org) or those at risk of a current diagnosis of a disease such as cancer (www.qcancer.org)
","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2015-12-14
117,"DRR117","ODR1516_099","University of Oxford","Academic Institution","The data will be used to describe the epidemiology in England of four main breast cancer subtypes, (Luminal A, Luminal B, Her2 enriched, Triple negative) as defined by oestrogen receptor (ER), progesterone receptor (PR) and human epidermal growth factor 2 (HER2) expression, in relation to age and ethnicity of women with breast cancer, and other tumour characteristics.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2015-10-05
118,"DRR118","ODR1516_104","Piedmont Cancer Registry","Other","The project aims to analyse incidence and mortality trends for melanoma, using population based data from European cancer registries and making comparisons with extra-European results. The project will also undertake international comparison to detect if the different timing in the implementation of skin cancer campaigns or wider opportunity of vacation in sunnier countries would have had a differential effect on incidence rates trends of in situ, thin and thick melanomas.","National Cancer Registration and Analysis Service","Anonymised ","Regulation 2 (s251)",2015-12-09
119,"DRR119","ODR1516_122","University of Nottingham","Academic Institution","The Lung Cancer Consultant Outcomes Publication (LCCOP) publishes data on resection rates and survival after surgery for primary lung cancer in England. LCCOP is a Healthcare Quality Improvement Partnership (HQIP) programme, relevant to thoracic surgeons and it is a national and mandatory programme for NHS Hospitals in England. The LCCOP report is produced jointly by the National Lung Cancer Audit (NLCA) NLCA and the Society of Cardiothoracic Surgery (SCTS).","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2015-11-30
120,"DRR120","ODR1516_154b","Queen Mary University of London","Academic Institution","Uptake of bowel cancer screening in England is currently about 56%, a figure that has changed very little since the programme began in 2006, despite national campaigns to raise awareness. The NHS Bowel Cancer Screening Programme (BCSP) in England is organised centrally, without the direct involvement of general practitioners (GPs). There is evidence to suggest, however, that people are more likely to respond to an invitation to screening if they are encouraged to do so by their GP. Data is requested to evaluate PEARL (Practice Endorsed Additional Reminder Letter) intervention.","National Bowel Cancer Screening Programme","Anonymised","Regulation 2 (s251)",2015-12-01
121,"DRR121","ODR1516_261b","NATCANSAT - The Clatterbridge Cancer Centre NHSFT","CQC Registered Health or/and Social Care provider","Data are requested to augment the National Radiotherapy Dataset (RTDS) in line with NATCANSAT's CAG Approval (1-06(FT2)/2013 for Cancer Analysis to support a range of activities within the cancer program.  Examples include calculation of radiotherapy uptake rates to support the NHS England Quality Measures Dashboard, improvement of morphology data in the RTDS in order to correctly identify category I cases in assessment of radiotherapy delays.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-12-17
122,"DRR122","ODR1516_050f","London School of Hygiene & Tropical Medicine","Academic Institution","The data is requested to support a programme of applied public health research which aims to produce a comprehensive range of information on patterns of cancer survival and their impact on the population and provide insight into the extent and the causes of inequalities in the outcome of cancer treatment. Also aim to evaluate the population impact of strategies designed to improve survival or to reduce inequalities in outcome.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-12-04
123,"DRR123","ODR1516_050a","London School of Hygiene & Tropical Medicine","Academic Institution","The data is requested to support a programme of applied public health research which aims to produce a comprehensive range of information on patterns of cancer survival and their impact on the population and provide insight into the extent and the causes of inequalities in the outcome of cancer treatment. Also aim to evaluate the population impact of strategies designed to improve survival or to reduce inequalities in outcome.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-12-08
124,"DRR124","ODR1516_050","London School of Hygiene & Tropical Medicine","Academic Institution","The data is requested to support a programme of applied public health research which aims to produce a comprehensive range of information on patterns of cancer survival and their impact on the population and provide insight into the extent and the causes of inequalities in the outcome of cancer treatment. Also aim to evaluate the population impact of strategies designed to improve survival or to reduce inequalities in outcome.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-12-11
125,"DRR125","ODR1516_123a","Royal College of Surgeons Clinical Effectiveness Unit","Independent Sector Organisation","As part of the NPCA, we will collect PROMs and PREMs for all patients with localised prostate cancer who are candidates for radical treatment 18 months after diagnosis (from 1st April 2014) to determine patients views on their experience of care following diagnosis, in addition to their symptoms, functional status and health related quality of life post-radical treatment.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-10-30
126,"DRR126","ODR1516_314","Monitor Deloitte","Commercial","Data will be used to create a series of data visualisation dashboards known as ?Digital Data Interfaces? (DDIs). The DDIs are Tableau-based dashboards that allow Macmillan Cancer Support to visualise a highly-anonymised version of the Routes from Diagnosis dataset in a limited number of pre-specified ways (e.g., demographics or population-level service usage by Survivorship Outcome Group).","National Cancer Registration and Analysis Service","Anonymised","Regulation 2 (s251)",2016-02-01
127,"DRR127","ODR1516_313","University of Cambridge","Academic Institution","The objectives of this study are: 1. To explore the evolution of nephrectomy service and practice in England in response to the 2002 NICE recommendation on service reconfiguration. 
2. To determine if renal cancer service centralisation has resulted in improvements in short-term surgical and long-term oncological outcomes, including perioperative morbidities, in-hospital, 30-day, 1-year and 5-year cancer specific and overall mortalities.
3. To use large, contemporary, multi-centre UK data to develop and validate a novel renal cancer prognostic model that can be used at the point of care to assist in management decision.
4. To investigate how the understanding of volume-outcome relationship in nephrectomy can change the current paradigm on renal cancer service and risk prediction model.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-02-01
128,"DRR128","ODR_2014_397b","King's College London","Academic Institution","The Data Recipient will study how lipid biomarkers such as apoA-I and HDL are linked to tumour severity and cancer survival by using tumour information (Gleason score, PSA, TNM stage) and information of date and cause of death. In addition, the Data Recipient will study whether the concentrations of these lipid components change over time and have an effect on tumour severity and cancer prognosis. Information will be collected in tumour immunological markers to assess how inflammation might affect the association between lipid components and prostate cancer severity.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-02-23
129,"DRR129","ODR1516_068b","Sheffield Teaching Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","We are conducting a NSSG network audit of outcomes for radical cystectomy for bladder cancer. The results of the audit will help us to redesign our service delivery, counsel and inform patients better and also stratify our workload better. We are requesting patient identifiable data from PHE to match our hospital acquired data with the one from PHE for data completion and analysis.
","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2016-01-15
130,"DRR130","ODR1516_172","Central Manchester University Hospitals NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The aim of this project is to retrospectively assess the outcomes of all patients who are found to have HGD in sessile polyps that have been removed within the national BCSP and 1) determine the number that have an initial incomplete EMR 2) assess the progression to cancer (and cancer stage) or further HGD over time in those with a normal site check at 3 months 3) determine if there are any prognostic factors which affect outcomes 1-2 including polyp site, size and patient demographics (gender and age at diagnosis).","National Bowel Cancer Screening Programme","Anonymised","Regulation 2 (s251)",2016-02-17
131,"DRR131","ODR1516_037","William E. Wecker Associates, Inc.","Commercial","We would like to examine the historical trends in morphological sutbypes of lung cancer. We intend to examine lung cancers in Australia, Ireland, the United Kingdom, and the United States. The study will test, document, and, where possible, extend the analysis of relationships between tobacco use and cancer reported in the 2014 Surgeon General report.","National Cancer Registration and Analysis Service","Anonymised","Regulation 2 (s251)",2016-03-07
132,"DRR132","ODR1516_042","Sheffield Teaching Hospitals NHS Foundation Trust","CQC Registered Health or/and Social Care provider","A clinical audit of patients diagnosed in Sheffield Teaching Hospitals NHS Foundation Trust with colorectal liver metastasis between 1997 and 2005. The data recipient will examine the time between the primary operation for colorectal cancer and the appearance of liver metastasis, the stage of disease at the primary surgery and any laboratory data such as CEA levels that might assist in identifying any survival parameters.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2016-03-29
133,"DRR133","ODR1516_137","Leeds City Council","Local Authority","As part of a citywide Leeds bowel screening campaign data will be provided to the Data Recipient to enable screening helper packs to be sent to patients. Each pack includes 3 helper kits with one kit containing; an instructions card , pair of latex free gloves and a poo catcher/toilet aid plus easy read leaflet explaining the test and possible next steps to patients across Leeds (patients from all 3 NHS CCG groups in Leeds ? Leeds West CCG, Leeds North CCG and Leeds South & East CCG), who are invited to participate in the bowel screening programme (eligible adults aged 60 ? 74 years).","National Bowel Cancer Screening Programme","Personally identifiable","Regulation 5 (s251)",2016-03-03
134,"DRR134","ODR1516_266a","University of Leicester","Academic Institution","The main aim is to develop and apply statistical methods to optimise the use of population based cancer data combining methodological development with application of the new methods in applied research using English population based cancer survival data. Three specific aims are as follows, (i) Further develop methods to partition cancer related mortality into that due to cancer and that due to excess cariovascular disease. (ii) Develop computationally efficient methods for competing risks data, applying the methods to modelling the time to hepatic resection for colorectal cancer.  (iii) Further develop methods for estimating the loss in expectation of life associated with a diagnosis of cancer with the aim of decomposition into different causes.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-02-18
135,"DRR135","ODR1516_109d","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","This study aims to use CPRD GOLD to further investigate if there is an association between pioglitazone use and the development of prostate cancer and to explore the possible reasons for such an association and whether this is unique to pioglitazone or seen also with other diabetic treatments. This nested case-control study will be set within a CPRD GOLD cohort of male type 2 diabetes mellitus (T2DM) patients, aged 40 years or over, who initiated first ever diabetic drug therapy on or after  01 January 2001 until the most recent date of the three databases. Cases of prostate cancer diagnosed after the start of first diabetic medication will be identified using linkage to Cancer Registration data, and hospital discharge diagnoses in the HES dataset.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","Regulation 5 (s251)",2016-03-07
136,"DRR136","ODR1516_379","Imperial College London","Academic Institution","The UK Flexible Sigmoidoscopy Screening Trial (UKFSST) started in 1994 and aims to determine the effectiveness of a single flexible sigmoidoscopy (FS) screening exam in reducing colorectal cancer incidence and mortality rates. This is a multicentre randomised controlled trial designed to evaluate the effect of a single flexible sigmoidoscopy screening at age 55-64 years in the prevention of colorectal cancer morbidity and death. 195,000 men and women were recruited to the study in 10 centres throughout the United Kingdom and randomly allocated to either screening or control groups in the ratio of 1:2. 

The cancers data is required to follow-up patients to determine:
? The magnitude of effect of a single FS screen on CRC incidence and mortality.
? The optimum age for a single FS screening exam.
? The duration of the protective effect of a single FS.

The BCSP data is required to examine and adjust for the contaminating effect of differential uptake of FOBT in the BCSP by screening attenders and controls leading to different rates of colonoscopy and screen-detected cancers.","National Bowel Cancer Screening Programme, National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-03-01
137,"DRR137","ODR1516_342b","Leeds Teaching Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","This study aims to look at the clinical features of screen detected breast cancer especially in relation to HER-2 positive status and its influence on clinical management, especially in relation to systemic chemotherapy use and overall survival.","National Breast Cancer Screening Programme","Anonymised","Regulation 2 (s251)",2016-03-11
138,"DRR138","ODR1516_071c","University of Nottingham","Academic Institution","Data on patients diagnosed with lung cancer between 1 January and 31 December 2014 will be used for the Healthcare Quality Improvement Partnership (HQIP) commissioned National Lung Cancer Audit annual report to drive improvements in the quality of lung cancer services and patient outcomes. The performance of the providers of lung cancer will be analysed at a number of levels including individual Trust/Health Boards, Strategic Clinical Network and Thoracic Surgical Centres. Using these levels of analysis, multivariate logistic regression will be used to study access to treatment modalities (surgery, chemotherapy, and radiotherapy). The impact of the following confounders ? age, sex, socioeconomic status, stage, lung affected, histology and performance status (WHO) will be assessed.  Trusts? data will be analysed individually as well as group Trusts according to key variables, for example if a Trust is a thoracic surgical centre, or if they give chemotherapy locally. Data items will be benchmarked against key audit indicators.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-01-07
139,"DRR139","ODR1516_071d","University of Nottingham","Academic Institution","Data on patients diagnosed with lung cancer between 1 January and 31 December 2014 will be used for the Healthcare Quality Improvement Partnership (HQIP) commissioned National Lung Cancer Audit annual report to drive improvements in the quality of lung cancer services and patient outcomes. The performance of the providers of lung cancer will be analysed at a number of levels including individual Trust/Health Boards, Strategic Clinical Network and Thoracic Surgical Centres. Using these levels of analysis, multivariate logistic regression will be used to study access to treatment modalities (surgery, chemotherapy, and radiotherapy). The impact of the following confounders ? age, sex, socioeconomic status, stage, lung affected, histology and performance status (WHO) will be assessed.  Trusts? data will be analysed individually as well as group Trusts according to key variables, for example if a Trust is a thoracic surgical centre, or if they give chemotherapy locally. Data items will be benchmarked against key audit indicators.

Additional treatment data variables provided.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-02-05
140,"DRR140","ODR1516_494","Health and Social Care Information Centre","Government Agency (Health and Adult Social Care)","The National Pregnancy in Diabetes (NPID) Audit measures the quality of pre-gestational diabetes care against NICE guidline based criteria and the outcomes of pre-gestational diabetic pregnancy.","National Congenital Anomaly and Rare Disease Registration Service ","Personally identifiable","Consent",2016-03-29
141,"DRR141","ODR1516_369","University of Leeds","Academic Institution","This programme aims to create a unique national dataset on colorectal cancer that will offer, for the first time, high quality national information on all patients treated with colorectal cancer within the NHS.  These data will allows us to monitor the hospital careers and outcomes of all patients at a population level and, hence, scrutinize the clinical performance of the NHS.  ","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-03-11
142,"DRR145","ODR1516_050","London School of Hygiene and Tropical Medicine","Academic Institution","The data is requested to support a programme of applied public health research which aims to produce a comprehensive range of information on patterns of cancer survival and their impact on the population and provide insight into the extent and the causes of inequalities in the outcome of cancer treatment. Also aim to evaluate the population impact of strategies designed to improve survival or to reduce inequalities in outcome.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-04-05
143,"DRR148","ODR1516_033","University of Leicester","Academic Institution","The principal aim of the research is to improve the reporting of measures of cancer survival from routine data resources. The research falls into two parts, with the first part developing an interactive online tool and the second part relating to the development and application of a more informative measure of the impact of a diagnosis of cancer on life expectancy.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-04-05
144,"DRR153","ODR1516_493","University College London","Academic Institution","The specific aims of ICBP Module 4 are (1) To quantify and compare the time interval from onset of first symptoms to start of treatment. The total time interval will be divided into sub-intervals (Patient interval,  Diagnostic interval, Treatment interval); (2) To assess and compare the proportion of patients entering the cancer pathway through different routes of diagnosis defined as screen detected, urgent referrals with a suspicion of cancer, routine/urgent referrals but not specific for the suspicion of cancer, an elective route, emergency presentation, and other or unknown routes to diagnosis; (3) Identify time intervals where actions to reduce delays could be focussed","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2016-04-14
145,"DRR151","ODR1516_377","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","Connectivity mapping is a new technique that allows medications to be screened to assess their ability to cause cancer or have anti-cancer properties that are unrelated to the established therapeutic effects of these drugs. This connectivity map process has been implemented and has identified 10 prescription medications (used for non-cancer purposes) that potentially reduce or increase breast cancer risk. The aim of this study is to determine the association between the 10 identified medications (from connectivity mapping) and breast cancer risk.  The study could identify (previously unrecognised) medications which increase the risk of breast cancer development; current licensing and use of such medications may need to be reconsidered. This study also has the potential to identify licensed medications that reduce breast cancer risk and warrant further study in clinical trials.
","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","Regulation 5 (s251)",2016-04-21
146,"DRR157","ODR1516_163","University of Leeds","Academic Institution","The Yorkshire Specialist Register of Cancer in Children and Young People is an established population-based register of tumours diagnosed in the childhood, adolescent and young adult age ranges.  The primary aim of the Register is to investigate the causes of cancer through the application of epidemiological analyses.  This includes monitoring time trends and investigating geographical patterns of disease across the region. Secondly, our aim is to investigate the delivery of care to young people with cancer in Yorkshire to ensure the best treatment is available; for example by looking at pathways of care and factors that influence survival. 
","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 2 (s251)",2016-05-09
147,"DRR156","ODR_2014_317","Institute of Cancer Research","Academic Institution","The purpose of this study is to investigate genetic and environmental risk factors for cancer and mortality, with a focus on breast cancer aetiology, by establishing and gaining long-term follow up of a cohort of more than 100,000 women in the UK aged 16 years and older at entry. ","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2016-05-10
148,"DRR143","ODR1516_050","London School of Hygiene and Tropical Medicine","Academic Institution","The data is requested to support a programme of applied public health research which aims to produce a comprehensive range of information on patterns of cancer survival and their impact on the population and provide insight into the extent and the causes of inequalities in the outcome of cancer treatment. Also aim to evaluate the population impact of strategies designed to improve survival or to reduce inequalities in outcome.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-05-16
149,"DRR154","ODR1617_023","Royal College of Surgeons Clinical Effectiveness Unit","Independent Sector Organisation","The National Prostate Cancer Audit was established to determine whether the care received by patients with prostate cancer is consistent with recommended practice, including the recently updated NICE guideline covering the diagnostic procedures, treatments, care and support that men who have suspected or diagnosed prostate cancer should be offered (NICE 2014) and to identify areas where improvements can be made. The audit started on the 1st April 2013 and will continue for a minimum of 5 years. 
","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-05-16
150,"DRR150","ODR1516_354","Public Health England","Government","To establish systems for prospective enhanced surveillance of HPV type-specific infections and HPV vaccination history for cervical disease. Objectives of pilot : (1)  To identify (retrospectively) up to 125 cancers in women under 30 years in 2011; (2)  to pilot systems for the collection of enhanced surveillance data (vaccination status and type-specific HPV infection status), including systems for type-specific HPV testing of biopsy material.
","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 3 (s251)",2016-05-20
151,"DRR149","ODR_2014_335","Queen Mary's University London","Academic Institution","The project aims to ascertain by note review whether our Autoimmune hepatitis   patients treated with Azathioprine have an increased incidence of clinically manifest malignancy over (a) the rate observed by of Johnson et al (NEJM 1995; 333:958)) and (b) above the background cancer rate in Yorkshire as recorded by the Yorkshire cancer Registry.  Cancer rate in Azathioprine treated patients will also be compared to that in the (approximately 30) patients with AIH who were not treated with Azathioprine.  
","National Cancer Registration and Analysis Service","Anonymised ","No legal gateway required",2016-05-25
152,"DRR152","ODR1516_490","Royal College of Physicians","Independent Sector Organisation","The Data Recipient will access data on lung cancer patients to    complete the annual analysis for the National Lung Cancer Audit reports (2015 to 2020).   The National Lung Cancer Audit is commissioned by the Health Quality Improvement Partnership. It  will audit a combination of process and outcome measures which are closely aligned to the NICE quality  standards (QS) 2012, NICE lung cancer guideline 2011 (GL) and NICE technology appraisals (TA).","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-06-02
153,"DRR146","ODR1516_351","Leeds Teaching Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","This project aims to increase community referral rates for chest X-ray in patients in accordance with Department of Health and NICE guidance through coordinated interventions in primary and secondary care across Leeds. Some of these interventions will be cross-city, whereas other components will be concentrated on a target area of Inner East and Inner South Leeds, areas with a high prevalence of lung cancer. The central message of the campaign is that members of the public with a cough or other chest symptoms for over three weeks should have a chest X-ray performed. ","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2016-06-06
154,"DRR147","ODR1516_011A","University College London","Academic Institution","The Data Recipient will conduct a non-clinical randomised control trial to test the effectiveness (intention-to-treat analysis) and efficacy (per-protocol analysis) of primary care based text-message reminders to promote uptake of  guaiac based Faecal Occult Blood (gFOB) test among people aged 60 and over who live in London and registered with a GP practice.  
","National Bowel Cancer Screening Programme","Personally identifiable","Regulation 5 (s251)",2016-06-07
155,"DRR155","ODR1516_369","University of Leeds","Academic Institution","This programme aims to create a unique national dataset on colorectal cancer that will offer, for the first time, high quality national information on all patients treated with colorectal cancer within the NHS.  These data will allows us to monitor the hospital careers and outcomes of all patients at a population level and, hence, scrutinize the clinical performance of the NHS.  ","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-06-22
156,"DRR144","ODR1516_063","University of Hull","Academic Institution","The data are requested to underpin a quantitative case study of gastroesophageal cancers (GOC) within a regional referral centre. The cohort under analysis is all patients presenting within a given timeframe. Epidemiology and geographical information science will be applied to underpin the statistical analysis of datasets. This research sits on the preposition that GOC cases should reflect population profiles of usual GOC attributes and evaluates this at a small scale (i.e. areas more dense with populations of elderly males or from lower socioeconomic groups, should reflect higher rates of the cancer - thus producing incidence 'hot spots').","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-06-27
157,"DRR163","ODR1516_063","University of Hull","Academic Institution","The Data Recipient will access cancer registration data to underpin a quantitative case study of gastroesophageal cancers (GOC) within a regional referral centre. The cohort under analysis is all patients presenting within a given timeframe. Epidemiology and geographical information science will be applied to underpin the statistical analysis of datasets. This research sits on the preposition that GOC cases should reflect population profiles of usual GOC attributes and evaluates this at a small scale (i.e. areas more dense with populations of elderly males or from lower socioeconomic groups, should reflect higher rates of the cancer - thus producing incidence 'hot spots').","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-07-07
158,"DRR161","ODR1516_025","University of Oxford","Academic Institution","The Data Recipient will access linked cancer registration data  to examine the relationship between risk factors such as reproductive history, hormone use and lifestyle factors and subtypes of common cancers in the Million Women Study cohort - a large cohort study of middle-aged UK women. This research should not only provide information on which risk factors are associated with specific cancer subtypes but may also clarify some of the biological mechanisms underlying these associations.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2016-07-08
159,"DRR168","ODR1516_300","University College London","Academic Institution","The Data Recipient will access cancer registration data to document the differences in survival of lung cancer patients older than 65 years between England and the US.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-07-08
160,"DRR159","ODR_2014_381","Leiden University","Academic Institution","The Data Recipient will access cancer registration data to compare treatment strategies and survival patterns across several European countries in women aged 70+ with stage I-III breast cancer.","National Cancer Registration and Analysis Service","Anonymised","No legal gateway required",2016-07-18
161,"DRR160","ODR1516_018","Oxford University","Academic Institution","The Data Recipient will access cancer registration data to allow the analysis of diet and other risk factors in relation to the incidence of sub-types of cancer within the EPIC-Oxford  cohort. The Data Recipient will obtain data on method of detection, stage of disease, and pathological features including information from pathology reports, microscope slides and tumour tissue for all types of cancer in a cohort study of 65,000 men and women recruited throughout the UK in 1993-2000.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-07-21
162,"DRR171","ODR1516_455","Oxford Academic Health Science Network","CQC Registered Health or/and Social Care provider","The Data Recipient will access cancer registration data to analyse referral to treatment times, case mix, different methods of diagnosis and accuracy in diagnosis from the different sites that use Oxford provided PET-CT.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-07-29
163,"DRR172","ODR1516_497","University of Nottingham","Academic Institution","The Data Recipient will access cancer registration data  to provide evidence to drive improvements in access to active treatments for people with lung cancer in the UK (including mesothelioma) and thereby to improve outcomes for these people. A programme of research using the National Lung Cancer Audit and additional linked clinical datasets will be conducted to define (1)proportion of people with lung cancer receive active anti-cancer treatments (2) patient and tumour level features that are associated with treatment choices (3)  trust level features associated with treatment choices and outcomes (4) survival by  specific surgical, radiotherapy chemotherapy or biological therapies given(5) hospital admission rate of patients treated with specific surgical, radiotherapy, chemotherapy and/or biological therapies","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-08-04
